湛江科技学院专任教师岗（硕士、博士层次）招聘公告北京心力志成科技有限公司,教育培训
企划岗中国人民财产保险股份有限公司盐城市分公司,保险
人力资源专员/助理祥博传热科技股份有限公司,物业管理
生产储备干部建滔（衡阳）实业有限公司,加工制造
美术老师靖江市欧西姆教育培训中心有限公司,教育培训
销售代表加绿巧食品制造业（海南）有限责任公司,快消
电商运营助理(J10043)福建植护网络科技有限公司,互联网
燃料结构设计岗(J10145)上海核工程研究设计院,石油化工
【24届实习】供应链储备管理岗（武汉）(A207095)上海识装信息科技有限公司,物流运输
业务管培生上海九州通医药有限公司,医疗保健
站外推广助理-韩语实习生易通全球跨境电商（深圳）有限公司,互联网
软件工程师（24届研究生）重庆天如生物科技有限公司,IT软件
质量工程师中国宝武2024,加工制造
活动运营实习生北京快看世界信息技术有限公司,媒体
汽车质量工程师（太原）新新人力,汽车
科研骨干（十）辽宁材料实验室,科研
测试实习生（提供转正名额）杭州数跑科技有限公司,IT软件
24届运营实习生-可转正招商银行股份有限公司信用卡中心,金融投资
人力资源实习生宁波梅山保税港区艾克思创新投资管理有限公司,人力资源
电气工程师日立安斯泰莫动力系统（南京）有限公司,电子技术
华润苏果2024届管理培训生（中高层后备苏果超市有限公司,快消
电子芯片工程师&储备管理安徽闳瑞幸成信息技术有限公司,电子技术
医药研发类天津市医药集团有限公司,医药
算法实习生上海哔哩哔哩科技有限公司,IT软件
业务经理(青岛、芜湖)广州毅昌科技股份有限公司,互联网
行政文员重庆市一方财务代理有限公司,办公用品
语音识别算法实习生北京高德云图科技有限公司,IT软件
运营专员（24校招）多益网络有限公司,互联网
第三方检测工程师大连三仪动物药品有限公司,医疗设备
药物分析方法研究员江苏慧聚药业股份有限公司,医药
往届/应届初高中各学科老师绍兴市越城区星也火信息咨询有限公司,教育培训
产品渠道助理北京太平洋加达出国顾问股份有限公司,咨询服务
物业集团-储备干部（非应届生勿扰）海力城市运营管理有限公司,物业管理
储备管理人员江苏传艺钠电科技有限公司,电子技术
集成电路IC设计/应用工程师（六安）新新人力,IT硬件
人事SSC实习生上海晨光文具股份有限公司,人力资源
营销经理储备广东海信冰箱营销股份有限公司南宁分公司,快消
校园引才大使宁波市博士后联谊会,咨询服务
人力资源专员/助理上海寻梦信息技术有限公司,人力资源
京东物流2024届新锐之星（江苏盐城-储备干部）江苏京东信息技术有限公司南通分公司,物流运输
安全管理岗中交四航局第六工程有限公司,石油化工
必胜客餐厅运营管培生-咸阳百胜餐饮（西安）有限公司,餐饮娱乐
人力资源专员江苏云睿汽车电器系统有限公司,人力资源
总体设计中电科技扬州宝军电子有限公司,电子技术
茶研发工程师杭州娃哈哈集团有限公司,快消
企业招商实习生上海识装信息科技有限公司,咨询服务
营销管培生同策房产咨询股份有限公司,咨询服务
管理实习生+培训+5000起南京简零吉颜创美科技有限公司,生活服务
物资管理岗（2024届校招）（黑龙江省）中建西部建设校招,物流运输
专利撰写实习生（电学）猪八戒股份有限公司,IT软件
2024届高校生制造类工程师昆山龙腾光电股份有限公司,加工制造
管培生类（27W-35W）广州凡岛网络科技有限公司,互联网
网络安全售前实习生内蒙古旌云科技有限公司,IT软件
部门行政助理(J41455)新东方教育科技集团有限公司,物业管理
法务销售昆明蚂蚁雄兵科技有限公司,咨询服务
操作工江苏云意电气股份有限公司,加工制造
上海大学通信与信息工程学院2023年诚聘英才！广州高才博后信息咨询服务有限公司,教育培训
项目管理专员杭州安费诺飞凤通信部品有限公司,电子技术
亚马逊运营专员凤岗天安,互联网
平面设计实习生开平市赤坎旧埠旅游发展有限公司,广告
硬件（电力电子/电源工程师）江苏安科瑞电器制造有限公司,电子技术
海外媒介实习生（日、韩语）网易有道信息技术(北京)有限公司,媒体
电气工程师无锡市阳通机械设备有限公司,电子技术
驻场运维工程师新疆华奕新能源科技股份有限公司,新能源
俄语翻译中国化学工程第七建设有限公司,服务
商品采购管培生南通市大参林医药有限公司,医药
人力实习生（包饭）北京思明启创科技有限公司,人力资源
重症医学利辛县第二人民医院,医疗保健
游戏关卡策划深圳市尚游网络科技有限公司,休闲度假
业务员南京米德西普生物科技有限公司,医疗保健
装配工艺工程师无锡丹尼克尔自动化科技有限公司,加工制造
嵌入式硬件开发工程师浪潮金融信息技术有限公司,电子技术
MES实施顾问（2024届-合肥）鼎捷软件股份有限公司,IT软件
运动控制算法工程师上海宇量昇科技有限公司,电子技术
客户经理（于都）江西银行小企业信贷中心,金融投资
平潭综合实验区2024年第二批引进生公开选拔（医疗类）平潭综合实验区人才发展集团有限公司,医疗保健
数据分析厘安（河南）信息技术有限公司,IT软件
税务实习生广州欢聚时代信息科技有限公司,会计审计
储备干部衢州恒业汽车部件有限公司,加工制造
中国科学技术大学2024年英语教师招聘启事广州高才信息科技有限公司,教育培训
淘宝客服江苏北方高科电子科技有限公司,互联网
仪表作业员新浦化学（泰兴）有限公司,加工制造
招投标专员（实习生）南京诚迈智能信息科技有限公司,咨询服务
3d动作实习生（包餐/双休）广东游娱信息技术有限公司,互联网
微博知乎小红书平台运营策划编辑京报移动传媒有限公司,媒体
人力资源专员/助理河南予佳教育咨询有限公司,人力资源
渝北区！文职客服+无销售/无夜班+入职社保重庆信盟科技发展有限公司,生活服务
人事招聘（无经验也可+可实习）安徽万烽物流有限公司,物流运输
交付工程师浩鲸云计算科技股份有限公司,IT软件
生产管理浙江洁美电子科技股份有限公司,加工制造
产品设计岗上海寰宇物流科技有限公司,产品设计
软件开发珠海市智迪科技股份有限公司,IT软件
办公室文职大连佰亚欧尚传媒有限公司,咨询服务
产品研发实习生上海仙工智能科技有限公司,产品设计
苹果部门仓库周边330/天富士康科技集团有限公司,加工制造
英语实习生阿维塔科技（重庆）有限公司,媒体
肯德基储备经理（镇江）无锡肯德基有限公司,餐饮娱乐
百丽时尚青海区招募人力资源实习生陕西百丽鞋业有限公司,服装
量化实习生上海黑翼资产管理有限公司,金融投资
营业员中服（泉州）免税品有限公司,批发零售
造价（商务）工程师浙江华东工程建设管理有限公司,咨询服务
行政专员1名广州市海珠区蓝信封留守儿童关爱中心,社会服务
电气施工技术员四川中核利原劳务有限公司,电子技术
实习生（短期）北京卓教国际科技股份有限公司,教育培训
品牌设计实习生深圳市锐尔觅移动通信有限公司,广告
审计实习生中兴华会计师事务所（特殊普通合伙）新疆分所,会计审计
内贸业务员宁波国琅机器人科技有限公司,批发零售
储备干部宁波先锋电器制造有限公司,加工制造
设备/电气/仪表储备生卫星化学股份有限公司,加工制造
行政实习生深圳智慧园区运营服务有限公司,办公用品
厦门-小学素养赏析与演讲教师厦门市思明区新东方教育培训学校,教育培训
投资者关系岗（上市公司）泰达校招,金融投资
设计储备岗上海山林食品有限公司,产品设计
设计管理类中智（山东）经济技术合作有限公司,产品设计
生产运营主管时代一汽动力电池有限公司,汽车
幕墙施工员深圳瑞和建筑装饰股份有限公司上海分公司,建筑
线索广告产品实习生行吟信息科技(上海)有限公司,广告
播音讲师重庆仨生仨视美学文化传播中心（有限合伙）,媒体
工程管理中国能源建设集团东北电力第三工程有限公司,石油化工
质量体系管理杭州康源食品科技有限公司,贸易
QNX中间件开发实习生浙江极氪智能科技有限公司,IT软件
嵌入式HMI开发实习生上海蔚来汽车有限公司,汽车
2024年度江苏省启东市委组织部公开选调中共启东市委组织部,政府机构
暖通工程师龙基能源集团有限公司,环保
高中数学教师库尔勒市利民学校,教育培训
职能管理岗（信息）南通建工集团股份有限公司,物业管理
跨境电商运营常州盛亘泽进出口有限公司,贸易
仪表技术员浙江佳汇新材料有限公司,电子技术
自动化电控工程师（扬州）新新人力,自动化
安全管理中国能源建设集团东北电力第三工程有限公司,石油化工
测试实习生-国内连连银通电子支付有限公司,金融投资
国轩高科2024届校园招聘合肥国轩高科动力能源有限公司,新能源
【国企校招】人力资源管培生中化方胜能源管理服务有限公司东南分公司,金融投资
生产计划员（南通）南通人社局,物流运输
销售助理利莱诺（安徽）传动科技有限责任公司,批发零售
生产管培生（校招）南京海融医药科技股份有限公司,医疗保健
项目管理工程师厦门盈趣科技股份有限公司,IT软件
会计助理沈阳华融财税服务有限公司,会计审计
机械研发工程师扬州船用电子仪器研究所（中国船舶集团有限公司第七二三研究所）,机械重工
CTO助理博睿康科技（常州）股份有限公司,IT软件
生鲜客户经理（提供住宿，薪资8K起）牧原食品股份有限公司,快消
技术服务北京博农利生物科技有限公司,农业
机器人感知开发工程师-实习生(苏州)苏州煋海图科技有限公司,电子技术
后端开发工程师腾讯科技（深圳）有限公司,IT软件
娱乐主播大理凡晟文化传媒有限公司,娱乐
高中政治老师沭阳县修远中学,教育培训
广告客户执行实习生原力纵横文化发展(北京)有限公司,媒体
广告素材实习生网易（杭州）网络有限公司,媒体
系统验证工程师象帝先计算2024,IT硬件
运营实习生（内容运营垂类）-【运营部】北京达佳互联信息技术有限公司,互联网
PR公关部实习生波科国际医疗贸易(上海)有限公司,媒体
会计助理吉安市博纳财税服务有限公司,会计审计
器件项目研究员苏州长光华芯光电技术股份有限公司,电子技术
GC工程师横河电机（苏州）有限公司,电子技术
内控部_内控部实习助理百度在线网络技术(北京)有限公司,互联网
管理培训生（FinTech方向）兴业银行股份有限公司泉州分行,金融投资
制冷工程师牧原食品股份有限公司,物流运输
工程项目技术员巨力索具股份有限公司,机械重工
日语翻译实习生广州天游网络科技有限公司,媒体
化工工艺工程师（PID设计）南京圣卡孚科技有限公司,化工
临床医生歙县人民医院,医疗保健
百度实习生百度在线网络技术（北京）有限公司上海软件技术分公司,互联网
广告投放实习生北京猿力未来科技有限公司,广告
工艺实习生希捷国际科技（无锡）有限公司,加工制造
应用开发工程师北京亚控科技发展有限公司,IT软件
电力工程师浙江富钢集团有限公司,电力水利
中国大地车险续保专员中国大地财产保险股份有限公司,保险
算法实习生（24届）深圳科蓝金信科技发展有限公司,IT软件
幼儿教师连云港市海州区东方宝贝儿童之家,教育培训
大宗商品贸易专员浙江恒逸集团有限公司,贸易
驻厂单证浙江吉速物流有限公司,物流运输
储备干部（常熟）苏州亿津餐饮有限公司,餐饮娱乐
招聘实习生成都乐信圣文科技有限责任公司,媒体
汽车电子硬件实习生杭州海康威视数字技术股份有限公司,汽车
茅台冰淇淋店员/营业员苏州绝世风华酒业有限公司,餐饮娱乐
招聘实习生成都美尔贝科技股份有限公司,媒体
前端开发实习生中国科学院软件研究所,IT软件
风险策略岗（社会实践生)重庆小米消费金融有限公司,金融投资
实习生上海百一知识产权代理有限公司,咨询服务
首页推荐策略产品实习生（北京）深圳虾皮信息科技有限公司,互联网
安全员泰兴市申联环保科技有限公司,环保
AI训练实习生SX2406华数传媒网络有限公司,媒体
昆明铁路局接待岗云南翔联航空服务有限责任公司,物流运输
电气工程师盈峰环境科技股份有限公司,环保
投资顾问（销售方向）浙江同花顺云软件有限公司,金融投资
设计师助理济南绿港筑家装修设计有限公司,室内装潢
数据标注实习生天津中科昊宇科技有限公司,IT软件
人资实习生（招聘+年后到岗+实习证明）福州朴朴电子商务有限公司,人力资源
电商助理江西广电数字科技有限责任公司,互联网
校招-算法工程师（大模型）(737c6df)北京水滴科技集团有限公司,IT软件
平面设计实习生北京开心麻花娱乐文化传媒股份有限公司,媒体
财务实习生完美世界（北京）软件科技发展有限公司,金融投资
销售经理牧原食品股份有限公司,快消
机械工程师苏州工业园区昊特物流设备有限公司,机械重工
网络平台在线销售员上海靓了么网络科技有限公司,互联网
研发工程师安徽点金石能源科技有限公司,新能源
初级质量工程师科德宝企业管理(上海)有限公司,贸易
设计助理广州惟一智能科技有限公司北京分公司,IT硬件
Hr实习生（24届+可开实习证明）作业帮教育科技（北京）有限公司,人力资源
后端工程师浙江中广电器股份有限公司,IT软件
服装检验储备浙江凯喜雅国际股份有限公司,服装
生鲜销售经理牧原食品股份有限公司,快消
硬件工程师钜渺智能装备（江苏）有限公司,电子技术
数据调研员美好未来（上海）网络科技有限公司,互联网
字节跳动HR招聘实习生-国内/海外招聘均有北京今日头条科技有限公司,互联网
项目运营实习生（抖音团购）北京抖音信息服务有限公司,互联网
招聘实习生(A11165)中科创达软件股份有限公司,IT软件
X射线探测器测试工程师杭州宇称电子技术有限公司,医疗设备
课程顾问（苏州）江苏粉笔培训中心有限公司,教育培训
质量工程师（广州）欧圣电气2024,石油化工
招聘专员作业帮教育科技（北京）有限公司,人力资源
高中数学教师宁德市蕉城区肆大名补课外培训中心有限公司,教育培训
设备技术员南京健友生化制药股份有限公司,医药
